route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
OCESN-87171009-87713040,OCEdefault,INCONNU, -,,2,,,
OCESN-87171926-87171009,OCEdefault,INCONNU, -,,2,,,
OCESN-87172007-87172130,OCEdefault,INCONNU, -,,2,,,
OCESN-87172007-87191007,OCEdefault,INCONNU, -,,2,,,
OCESN-87172007-87295063,OCEdefault,INCONNU, -,,3,,,
OCESN-87172130-87172007,OCEdefault,INCONNU, -,,2,,,
OCESN-87174003-87116582,OCEdefault,INCONNU, -,,3,,,
OCESN-87174003-87171009,OCEdefault,INCONNU, -,,2,,,
OCESN-87175000-87142000,OCEdefault,INCONNU, -,,3,,,
OCESN-87175000-87175091,OCEdefault,INCONNU, -,,3,,,
OCESN-87175091-87142000,OCEdefault,INCONNU, -,,3,,,
OCESN-87175091-87175000,OCEdefault,INCONNU, -,,3,,,
OCESN-87185629-87184002,OCEdefault,INCONNU, -,,3,,,
OCESN-87194001-87172007,OCEdefault,INCONNU, -,,2,,,
OCESN-87212027-87338525,OCEdefault,INCONNU, -,,2,,,
OCESN-87276006-87313874,OCEdefault,INCONNU, -,,3,,,
OCESN-87276691-87296004,OCEdefault,INCONNU, -,,3,,,
OCESN-87286005-88857040,OCEdefault,INCONNU, -,,3,,,
OCESN-87295006-87343004,OCEdefault,INCONNU, -,,3,,,
OCESN-87295006-88720090,OCEdefault,INCONNU, -,,2,,,
OCESN-87295063-87172007,OCEdefault,INCONNU, -,,3,,,
OCESN-87295063-87343004,OCEdefault,INCONNU, -,,3,,,
OCESN-87295600-87343004,OCEdefault,INCONNU, -,,3,,,
OCESN-87296004-87295600,OCEdefault,INCONNU, -,,3,,,
OCESN-87296012-87171009,OCEdefault,INCONNU, -,,2,,,
OCESN-87296442-87296004,OCEdefault,INCONNU, -,,3,,,
OCESN-87313270-87276006,OCEdefault,INCONNU, -,,3,,,
OCESN-87338137-87732222,OCEdefault,INCONNU, -,,3,,,
OCESN-87343004-87295006,OCEdefault,INCONNU, -,,3,,,
OCESN-87343004-87295600,OCEdefault,INCONNU, -,,3,,,
OCESN-87384008-87411017,OCEdefault,INCONNU, -,,3,,,
OCESN-87391003-71718010,OCEdefault,INCONNU, -,,2,,,
OCESN-87391003-87444539,OCEdefault,INCONNU, -,,2,,,
OCESN-87391003-87471003,OCEdefault,INCONNU, -,,2,,,
OCESN-87391003-87575001,OCEdefault,INCONNU, -,,2,,,
OCESN-87391003-87581009,OCEdefault,INCONNU, -,,2,,,
OCESN-87391003-87582668,OCEdefault,INCONNU, -,,2,,,
OCESN-87391003-87673202,OCEdefault,INCONNU, -,,2,,,
OCESN-87391003-87677005,OCEdefault,INCONNU, -,,2,,,
OCESN-87391102-87471003,OCEdefault,INCONNU, -,,2,,,
OCESN-87444539-87447680,OCEdefault,INCONNU, -,,2,,,
