station_name,trigram,uic_code,latitude,longitude
Bords,BOR,87491019,45.8944625,-0.7985436
Bornel - Belle-Église,BBI,87276717,49.19471,2.20717
Bouaye,BLQ,87481200,47.1380806,-1.6810992
Boucau,BUU,87673095,43.5234217,-1.4905872
Bouchain,BAK,87345389,50.2780892,3.3319096
Boucoiran-et-Nozières,BKW,87775346,43.9926943,4.187634
Bouffémont - Moisselles,BOF,87276485,49.04514,2.32272
Bougival,BGV,87382440,48.8542135,2.1323749
Boulainvilliers,BWR,87543181,48.85645,2.275149
Boulazac,BZC,87725473,45.172291,0.772645
Boulogne Tintelleries,BKI,87317016,50.72729,1.60904
Boulogne-sur-Mer,BEM,87317586,50.7157,1.60964
Boulouris sur Mer,BOU,87757534,43.4163471,6.8082519
Bouray,BSO,87545178,48.533149,2.290596
Bourbourg,BBU,87281279,50.952267,2.1942305
Bourg-Bruche,BFZ,87214775,48.3598566,7.1371919
Bourg-en-Bresse,BGB,87743005,46.200351,5.215063
Bourg-Madame,BMD,87784876,42.4324069,1.9486704
Bourg-Saint-Maurice,BSM,87741793,45.619036,6.771273
Bourges,BGS,87576207,47.094145,2.394255
Bourgneuf-en-Retz,BGZ,87481242,47.0469634,-1.9551942
Bourgoin-Jallieu,BRG,87723429,45.583954,5.273401
Bourgtheroulde - Thuit-Hébert,BGT,87415323,49.3174381,0.8383198
Bournezeau,BNZ,87486324,46.6518258,-1.1806169
Bourron-Marlotte - Grez,BOM,87684118,48.3326884,2.6924552
Boussay - La Bruffière,BBF,87481176,47.0505741,-1.1828046
Boussens,BQY,87611095,43.179617,0.972543
Boussy-Saint-Antoine,BXI,87682138,48.680893,2.532726
Bouthéon,BOH,87726216,45.5246289,4.2777187
Boutigny-sur-Essonne,BJN,87681478,48.43495,2.37636
Boves,BOV,87313213,49.8462355,2.3981165
Bram,BRA,87615054,43.2441014,2.1191467
Brandérion,BPZ,87476242,47.7823179,-3.1940402
Brassac-les-Mines - Sainte-Florine,BLM,87734244,45.414246,3.330167
Brax - Léguevin,BXL,87611822,43.614887,1.236922
Brazey-en-Plaine,BEP,87713644,47.1314549,5.2121276
Bréauté - Beuzeville,BTB,87413344,49.603396,0.417489
Brebières,BSU,87345108,50.33624,3.0142
Breitenbach,BHH,87182659,48.0285326,7.1040522
Brélidy - Plouëc,BYP,87473827,48.669204,-3.196269
Bressuire,BRS,87487249,46.8384462,-0.4963269
Brest,BRT,87474007,48.38811,-4.478903
Breteil,BTU,87471102,48.1405713,-1.8972095
Bretenoux - Biars,BXB,87594762,44.9273692,1.8436871
Breteuil,BEB,87313247,49.626389,2.3845164
Bretigny - Norges,BTQ,87712265,47.390044,5.1105838
Brétigny-sur-Orge,BYR,87545194,48.606683,2.302378
Bretoncelles,BTO,87394270,48.4326737,0.8923825
Bretteville - Norrey,BVO,87444042,49.2034112,-0.5127396
Breuil - Romain,BPR,87171322,49.3084141,3.7665322
Breuillet - Bruyères-le-Châtel,BIH,87545483,48.577228,2.191721
Breuillet Village,BRW,87545491,48.564776,2.171207
Bréval,BVA,87381624,48.94336,1.54191
Briançon,BRI,87763607,44.889853,6.633007
Briare,BEW,87696088,47.6464312,2.7337154
Brignac,BKX,87592063,45.8635812,1.4406315
Brignais,BGN,87722728,45.6737721,4.7636596
Brignoud,BNU,87747451,45.26245,5.901472
Brimeux,BWM,87317180,50.4470409,1.8313826
Brion - Montréal-la-Cluse,BMC,87131961,46.1757013,5.5585203
Brionne,BEU,87415364,49.1964187,0.7115304
Brioude,BRD,87734269,45.3006493,3.3786344
Briouze,BZN,87448084,48.7018622,-0.3682036
Brive-la-Gaillarde,BLG,87594002,45.152618,1.528655
Broons,BOS,87473074,48.3332957,-2.2356578
Brou,BRO,87394452,48.2157588,1.1606705
Broye,BQK,87694166,46.8619444,4.2960996
Bruges,BGH,87581736,44.8870124,-0.609445
